Design,Average Cd,Average Cl,Average Cl_f,Average Cl_r
DrivAer_F_D_WM_WW_0001,0.3298180586359102,0.1089457358591022,0.0127015683532067,0.0962441674972568
DrivAer_F_D_WM_WW_0002,0.3463110482069825,0.1086508119132169,-0.0188247137163591,0.1274755256608478
DrivAer_F_D_WM_WW_0003,0.3241906178104737,-0.1257590913324189,-0.282016114032419,0.1562570227107231
DrivAer_F_D_WM_WW_0004,0.2666743777855362,-0.0490895510084787,-0.26452441640399,0.2154348653840399
DrivAer_F_D_WM_WW_0005,0.2819589482418952,0.0306686047320109,-0.0628280058067331,0.0934966105516209
DrivAer_F_D_WM_WW_0006,0.3436679679102243,-0.0074395203478705,-0.1536621842942643,0.146222663967581
DrivAer_F_D_WM_WW_0008,0.3109427153990025,-0.027849262362788,-0.2388675482842892,0.211018285925187
DrivAer_F_D_WM_WW_0009,0.282640931052369,-0.024050211962394,-0.2588907492294264,0.234840537286783
DrivAer_F_D_WM_WW_0010,0.3431881780149626,0.0834264920738154,-0.0862345232932668,0.1696610153740648
DrivAer_F_D_WM_WW_0011,0.2938256808728179,-0.0628543976127182,-0.2488566529975062,0.1860022553765585
DrivAer_F_D_WM_WW_0012,0.298446660413965,-0.0111089631450628,-0.1569944234912718,0.1458854603391521
DrivAer_F_D_WM_WW_0013,0.3003709451970074,0.0815005419755611,-0.000924726194898,0.0824252681720698
DrivAer_F_D_WM_WW_0014,0.2804233796533665,0.0406652854282679,-0.0638910405374064,0.1045563259648379
DrivAer_F_D_WM_WW_0015,0.333198346563591,0.062194079961581,-0.0044790152558852,0.0666730952189526
DrivAer_F_D_WM_WW_0016,0.3261668033167082,0.0552798303989775,-0.034146413401995,0.0894262437977556
DrivAer_F_D_WM_WW_0017,0.3519589257481296,-0.0407048005869157,-0.2406770124987531,0.1999722119027431
DrivAer_F_D_WM_WW_0018,0.2976737264164588,0.0448066056602917,-0.1064459248167082,0.1512525304738154
DrivAer_F_D_WM_WW_0019,0.3017197764289276,0.0337337275704389,-0.003225117773396,0.0369588453452867
DrivAer_F_D_WM_WW_0020,0.3146553754014962,0.0848985952246882,0.033769184182793,0.0511294110466334
DrivAer_F_D_WM_WW_0021,0.2764436088428927,-0.0804974226117206,-0.2745427706009975,0.1940453479600997
DrivAer_F_D_WM_WW_0022,0.3073476623216957,0.0578787689710723,-0.0508948240097256,0.1087735929758104
DrivAer_F_D_WM_WW_0023,0.3658337493216957,-0.0061747819255052,-0.1309733743840399,0.1247985924428927
DrivAer_F_D_WM_WW_0024,0.356989181573566,0.1067918004087281,0.128649438913965,-0.0218576385142229
DrivAer_F_D_WM_WW_0025,0.2961797281246883,0.0436733569299251,-0.14155821080798,0.185231567723192
DrivAer_F_D_WM_WW_0026,0.2693219019127182,-0.0800972113997506,-0.1765428332768079,0.0964456218817954
DrivAer_F_D_WM_WW_0027,0.2604129357880299,-0.0917018222062344,-0.2633031764089775,0.1716013542194513
DrivAer_F_D_WM_WW_0028,0.2880354893665835,-0.0421687465976059,-0.1935887453840399,0.1514199987905237
DrivAer_F_D_WM_WW_0029,0.2821178302369077,0.0732419290826234,-0.0642431816094763,0.1374851106738154
DrivAer_F_D_WM_WW_0030,0.3437082317705736,0.1012967928930174,-0.0138430024730401,0.1151397953810473
DrivAer_F_D_WM_WW_0031,0.3344805167730673,0.1098670072730673,0.024000522266384,0.0858664849930174
DrivAer_F_D_WM_WW_0032,0.3249216692418952,0.0402515643510797,-0.1072961459645885,0.147547710298005
DrivAer_F_D_WM_WW_0033,0.312730890882793,-0.1294062930074813,-0.2309494085785536,0.1015431155501246
DrivAer_F_D_WM_WW_0034,0.3681100610374064,0.1752637473516209,0.1191524676760598,0.0561112796521197
DrivAer_F_D_WM_WW_0035,0.2797474600897756,-0.0455138408826596,-0.1272757873765586,0.081761946501995
DrivAer_F_D_WM_WW_0036,0.3240228827780549,0.1529165692294264,0.0671211444583541,0.0857954247852867
DrivAer_F_D_WM_WW_0037,0.3264814094114713,-0.0331728013130673,-0.2367647242344139,0.2035919229226932
DrivAer_F_D_WM_WW_0038,0.2799518599875311,0.0268205791458852,-0.0942657552725685,0.121086334413965
DrivAer_F_D_WM_WW_0039,0.3578690363017456,0.1261955525790523,0.1174641423648379,0.0087314101978274
DrivAer_F_D_WM_WW_0040,0.2731943472568578,-0.0576077431272892,-0.1779117450024937,0.1203040018438902
DrivAer_F_D_WM_WW_0041,0.3108010892842893,0.0326680187947516,-0.0100751307034246,0.0427431494970822
DrivAer_F_D_WM_WW_0042,0.2963969702169576,-0.0461986514164588,-0.2568335584438903,0.2106349070224438
DrivAer_F_D_WM_WW_0043,0.3073865044214464,-0.0149465659394765,-0.0658651999436409,0.05091863400399
DrivAer_F_D_WM_WW_0044,0.313301893553616,0.0404307309586633,-0.0492106703922693,0.0896414013628429
