Design,Average Cd
E_S_WWC_WM_1,0.29412865082392
E_S_WWC_WM_2,0.26491798282392
E_S_WWC_WM_3,0.28956452361794
E_S_WWC_WM_4,0.274050076425249
E_S_WWC_WM_5,0.294305110963455
E_S_WWC_WM_6,0.222047124289036
E_S_WWC_WM_7,0.281484899717608
E_S_WWC_WM_8,0.242908860671096
E_S_WWC_WM_9,0.24898048498155
E_S_WWC_WM_10,0.277823859564784
E_S_WWC_WM_11,0.287486639956811
E_S_WWC_WM_12,0.24639836864784
E_S_WWC_WM_13,0.265013168963455
E_S_WWC_WM_14,0.260425035431894
E_S_WWC_WM_15,0.274021164976744
E_S_WWC_WM_16,0.28368462882392
E_S_WWC_WM_17,0.227769114611296
E_S_WWC_WM_18,0.312009865611296
E_S_WWC_WM_19,0.260562967906977
E_S_WWC_WM_20,0.271582469694352
E_S_WWC_WM_21,0.285460547142857
E_S_WWC_WM_22,0.246505593255814
E_S_WWC_WM_23,0.28049304207309
E_S_WWC_WM_24,0.281620850245847
E_S_WWC_WM_25,0.281508807152824
E_S_WWC_WM_26,0.249484309245847
E_S_WWC_WM_27,0.299240293292359
E_S_WWC_WM_28,0.257498798418605
E_S_WWC_WM_29,0.289159830840531
E_S_WWC_WM_30,0.260890287013289
E_S_WWC_WM_31,0.250198715963455
E_S_WWC_WM_32,0.293618586471761
E_S_WWC_WM_33,0.28770135441196
E_S_WWC_WM_34,0.258695624774086
E_S_WWC_WM_35,0.261736497438538
E_S_WWC_WM_36,0.276162748461794
E_S_WWC_WM_37,0.254723029016611
E_S_WWC_WM_38,0.265854328169435
E_S_WWC_WM_39,0.237262875561462
E_S_WWC_WM_40,0.258855539129568
E_S_WWC_WM_41,0.269271564495017
E_S_WWC_WM_42,0.253780660438538
E_S_WWC_WM_43,0.248455713202658
E_S_WWC_WM_44,0.291998549033222
E_S_WWC_WM_45,0.304280334843854
E_S_WWC_WM_46,0.247993263757475
E_S_WWC_WM_47,0.243613898368771
E_S_WWC_WM_48,0.251670063332226
E_S_WWC_WM_49,0.267981678083056
E_S_WWC_WM_50,0.276926676903655
E_S_WWC_WM_51,0.239572929651163
E_S_WWC_WM_52,0.2937630420299
E_S_WWC_WM_53,0.275416606621262
E_S_WWC_WM_54,0.280363533810631
E_S_WWC_WM_55,0.252649458521595
E_S_WWC_WM_56,0.295556522438538
E_S_WWC_WM_57,0.270777089740864
E_S_WWC_WM_58,0.283624525847176
E_S_WWC_WM_59,0.294419073930232
E_S_WWC_WM_60,0.26931549269103
E_S_WWC_WM_61,0.283060906637874
E_S_WWC_WM_62,0.281116401504983
E_S_WWC_WM_63,0.288114758986711
E_S_WWC_WM_64,0.281272983232558
E_S_WWC_WM_65,0.278804190149502
E_S_WWC_WM_66,0.263851474601329
E_S_WWC_WM_67,0.286077652318937
E_S_WWC_WM_68,0.258078437461794
E_S_WWC_WM_69,0.247699641747508
E_S_WWC_WM_70,0.269889421900332
E_S_WWC_WM_71,0.241181244501661
E_S_WWC_WM_72,0.271697455076412
E_S_WWC_WM_73,0.244185269863787
E_S_WWC_WM_74,0.292229078322259
E_S_WWC_WM_75,0.286876901730897
E_S_WWC_WM_76,0.272361830511628
E_S_WWC_WM_77,0.252640916009967
E_S_WWC_WM_78,0.285808930956811
E_S_WWC_WM_79,0.29284210027907
E_S_WWC_WM_80,0.264617778049834
E_S_WWC_WM_81,0.262101999106312
E_S_WWC_WM_82,0.273235841687708
E_S_WWC_WM_83,0.242502841192691
E_S_WWC_WM_84,0.246450837538206
E_S_WWC_WM_85,0.252051276375415
E_S_WWC_WM_86,0.261145955245847
E_S_WWC_WM_87,0.246520294498339
E_S_WWC_WM_88,0.254981448790698
E_S_WWC_WM_89,0.238221284627907
E_S_WWC_WM_90,0.271263934142857
E_S_WWC_WM_91,0.298559177714286
E_S_WWC_WM_92,0.295927113003322
E_S_WWC_WM_93,0.261018690149502
E_S_WWC_WM_94,0.258743583790698
E_S_WWC_WM_95,0.274847905681063
E_S_WWC_WM_96,0.260419249807309
E_S_WWC_WM_97,0.282492599800664
E_S_WWC_WM_98,0.281260283172757
E_S_WWC_WM_99,0.282985213827242
E_S_WWC_WM_100,0.244774037574751
E_S_WWC_WM_101,0.28590687982392
E_S_WWC_WM_102,0.284114924966777
E_S_WWC_WM_103,0.293160060478405
E_S_WWC_WM_104,0.251735861043189
E_S_WWC_WM_105,0.291414724501661
E_S_WWC_WM_106,0.25205010392691
E_S_WWC_WM_107,0.28262528272093
E_S_WWC_WM_108,0.287792185677741
E_S_WWC_WM_109,0.311982455561462
E_S_WWC_WM_110,0.273602561621262
E_S_WWC_WM_111,0.240508121687708
E_S_WWC_WM_112,0.260120259634551
E_S_WWC_WM_113,0.303158858903654
E_S_WWC_WM_114,0.274380655704319
E_S_WWC_WM_115,0.277395447026578
E_S_WWC_WM_116,0.288680145318937
E_S_WWC_WM_117,0.2443705900299
E_S_WWC_WM_118,0.278384019657807
E_S_WWC_WM_119,0.278057998724252
E_S_WWC_WM_120,0.287305163458472
E_S_WWC_WM_121,0.281629070681063
E_S_WWC_WM_122,0.263819701215947
E_S_WWC_WM_123,0.27251859310299
E_S_WWC_WM_124,0.273594640013289
E_S_WWC_WM_125,0.254122981448505
E_S_WWC_WM_126,0.280935118803987
E_S_WWC_WM_127,0.243568231830565
E_S_WWC_WM_128,0.267729173395349
E_S_WWC_WM_129,0.249806251398671
E_S_WWC_WM_130,0.299590718694352
E_S_WWC_WM_131,0.258056920225914
E_S_WWC_WM_132,0.288422086903654
E_S_WWC_WM_133,0.29974876682392
E_S_WWC_WM_134,0.268777399142857
E_S_WWC_WM_135,0.279155493727575
E_S_WWC_WM_136,0.286292653883721
E_S_WWC_WM_137,0.315927213880399
E_S_WWC_WM_138,0.24696724064784
